,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,,,,,,,,,,,,,,,
1,,Atualizado até dia - 31/01/2026,,FECHAMENTO,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
3,,CANAIS,2025,ORÇADO 2026,2026,,% 26 X ORÇ.,% 25 x 26,,DIF 26 X ORÇ.,DIF 25 X 26,,% PART. 25,% PART. 26 ORÇ.,% PART. 26,p.p 2026,p.p 25x26
4,,GUICHÊS PRÓPRIOS UTP,38882666.36,40672306.71149688,38280543.08,,,,,,,,,,,,
5,,GUICHÊS TERCEIROS UTP,17707649.9,12901844.14007069,18235234.55,,,,,,,,,,,,
6,,VENDA CORPORATIVA,988122.16,594469.0359247511,846728.89,,,,,,,,,,,,
7,,VENDA EMBARCADA,1283166.06,491721.9768959971,1309205.07,,,,,,,,,,,,
8,,SITES PRÓPRIOS UTP,36876068.13,40549692.61926001,37543888.64,,,,,,,,,,,,
9,,SITES TERCEIROS UTP,28695905.3,31461113.11499712,34212011.6,,,,,,,,,,,,
10,,OUTLET DE PASSAGENS,1705327.91,1920620.010383196,2235218.49,,,,,,,,,,,,
11,,CLUBE GIRO,3091119.47,3344109.319081381,3770757.76,,,,,,,,,,,,
12,,WEMOBI,1488910.15,2107726.944000938,1678768.69,,,,,,,,,,,,
13,,TOTEM,1751014.7,2389291.652650001,1846558.43,,,,,,,,,,,,
14,,GIPSYY,24481.72,98056.05523904895,34521.52,,,,,,,,,,,,
15,,TOTAL,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,
17,,CANAIS,2025,ORÇADO 2026,2026,,% 26 X ORÇ.,% 25 x 26,,DIF 26 X ORÇ.,DIF 25 X 26,,% PART. 25,% PART. 26 ORÇ.,% PART. 26,p.p 2026,% VAR
18,,OFFLINE,,,,,,,,,,,,,,,
19,,ONLINE,,,,,,,,,,,,,,,
20,,TOTAL,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,
23,,CANAIS,TM 2025,TM 2026,% 25 x 26,,DIF 25 X 26,,,,,,,,,,
24,,GUICHÊS PRÓPRIOS UTP,66.01,68.59,,,,,,,,,,,,,
25,,GUICHÊS TERCEIROS UTP,73.56,79.65,,,,,,,,,,,,,
26,,VENDA CORPORATIVA,41.82,40.55,,,,,,,,,,,,,
27,,VENDA EMBARCADA,27.68,31.98,,,,,,,,,,,,,
28,,SITES PRÓPRIOS UTP,91.31,93.77,,,,,,,,,,,,,
29,,SITES TERCEIROS UTP,97.31,96.08,,,,,,,,,,,,,
30,,OUTLET DE PASSAGENS,57.52,68.97,,,,,,,,,,,,,
31,,CLUBE GIRO,61.98,69.24,,,,,,,,,,,,,
32,,WEMOBI,88.51,87.64,,,,,,,,,,,,,
33,,TOTEM,61.52,68.92,,,,,,,,,,,,,
34,,GIPSYY,113.78,174.88,,,,,,,,,,,,,
35,,TOTAL,77.28,80.98,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,
37,,CANAIS,TM 2025,TM 2026,% 25 x 26,,DIF 25 X 26,,,,,,,,,,
38,,OFFLINE,65.44,69.29,,,,,,,,,,,,,
39,,ONLINE,89.4,91.51,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,
42,,CANAIS,PAX 2025,PAX 2026,% 25 x 26,,DIF 25 X 26,,,,,,,,,,
43,,GUICHÊS PRÓPRIOS UTP,581690,549137,,,,,,,,,,,,,
44,,GUICHÊS TERCEIROS UTP,238887,225229,,,,,,,,,,,,,
45,,VENDA CORPORATIVA,23645,20846,,,,,,,,,,,,,
46,,VENDA EMBARCADA,46349,40942,,,,,,,,,,,,,
47,,SITES PRÓPRIOS UTP,402372,397852,,,,,,,,,,,,,
48,,SITES TERCEIROS UTP,294606,355364,,,,,,,,,,,,,
49,,OUTLET DE PASSAGENS,28932,31949,,,,,,,,,,,,,
50,,CLUBE GIRO,49585,53810,,,,,,,,,,,,,
51,,WEMOBI,16755,18790,,,,,,,,,,,,,
52,,TOTEM,28463,28074,,,,,,,,,,,,,
53,,GIPSYY,216,196,,,,,,,,,,,,,
54,,TOTAL,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,
56,,CANAIS,PAX 2025,PAX 2026,% 25 x 26,,DIF 25 X 26,,,,,,,,,,
57,,OFFLINE,,,,,,,,,,,,,,,
58,,ONLINE,,,,,,,,,,,,,,,
59,,TOTAL,,,,,,,,,,,,,,,
