,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,,,,,,,,,,,,,,,
1,,Atualizado até dia - 31/12/2025,,FECHAMENTO,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
3,,CANAIS,2024,ORÇADO 2025,2025,,% 25 X ORÇ.,% 24 x 25,,DIF 25 X ORÇ.,DIF 24 X 25,,% PART. 24,% PART. 25 ORÇ.,% PART. 25,p.p 2025,p.p 24x25
4,,GUICHÊS PRÓPRIOS UTP,44585022.93,34016519.9275535,43597980.75,,,,,,,,,,,,
5,,GUICHÊS TERCEIROS UTP,18907323.99,13774970.04598141,19755599.25,,,,,,,,,,,,
6,,SITES PRÓPRIOS UTP,43877908.66,55805319.28538951,43072681.66,,,,,,,,,,,,
7,,SITES TERCEIROS UTP,32743006.68,36027975.19772916,35905255.11,,,,,,,,,,,,
8,,OUTLET DE PASSAGENS,2400824.94,3877265.049017402,2850343.88,,,,,,,,,,,,
9,,CLUBE GIRO,3692400.71,5904651.770737663,4017755.64,,,,,,,,,,,,
10,,WEMOBI,1881767.19,3712426.367251623,2379594.18,,,,,,,,,,,,
11,,TOTEM,2230280.57,6044276.567374659,2028125.82,,,,,,,,,,,,
12,,GIPSYY,48389.4,133474.208965051,40545.35,,,,,,,,,,,,
13,,TOTAL,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,
15,,CANAIS,2024,ORÇADO 2025,2025,,% 25 X ORÇ.,% 24 x 25,,DIF 25 X ORÇ.,DIF 24 X 25,,% PART. 24,% PART. 25 ORÇ.,% PART. 25,p.p 2025,% VAR
16,,OFFLINE,,,,,,,,,,,,,,,
17,,ONLINE,,,,,,,,,,,,,,,
18,,TOTAL,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,
21,,CANAIS,TM 2024,TM 2025,% 24 x 25,,DIF 24 X 25,,,,,,,,,,
22,,GUICHÊS PRÓPRIOS UTP,64.83,67.01,,,,,,,,,,,,,
23,,GUICHÊS TERCEIROS UTP,75.17,81.97,,,,,,,,,,,,,
24,,SITES PRÓPRIOS UTP,95.67,95.44,,,,,,,,,,,,,
25,,SITES TERCEIROS UTP,99.14,97.95,,,,,,,,,,,,,
26,,OUTLET DE PASSAGENS,70.55,69.91,,,,,,,,,,,,,
27,,CLUBE GIRO,70.28,73.86,,,,,,,,,,,,,
28,,WEMOBI,103.37,102.35,,,,,,,,,,,,,
29,,TOTEM,62.68,68.61,,,,,,,,,,,,,
30,,GIPSYY,129.14,156.16,,,,,,,,,,,,,
31,,TOTAL,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,
33,,CANAIS,TM 2024,TM 2025,% 24 x 25,,DIF 24 X 25,,,,,,,,,,
34,,OFFLINE,67.63,71.1,,,,,,,,,,,,,
35,,ONLINE,93.51,93.5,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,
38,,CANAIS,PAX 2024,PAX 2025,% 24 x 25,,DIF 24 X 25,,,,,,,,,,
39,,GUICHÊS PRÓPRIOS UTP,680943,641574,,,,,,,,,,,,,
40,,GUICHÊS TERCEIROS UTP,249318,238467,,,,,,,,,,,,,
41,,SITES PRÓPRIOS UTP,458824,449477,,,,,,,,,,,,,
42,,SITES TERCEIROS UTP,332918,367170,,,,,,,,,,,,,
43,,OUTLET DE PASSAGENS,33222,39891,,,,,,,,,,,,,
44,,CLUBE GIRO,52372,53954,,,,,,,,,,,,,
45,,WEMOBI,18127,22695,,,,,,,,,,,,,
46,,TOTEM,35558,29601,,,,,,,,,,,,,
47,,GIPSYY,375,248,,,,,,,,,,,,,
48,,TOTAL,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,
50,,CANAIS,PAX 2024,PAX 2025,% 24 x 25,,DIF 24 X 25,,,,,,,,,,
51,,OFFLINE,,,,,,,,,,,,,,,
52,,ONLINE,,,,,,,,,,,,,,,
53,,TOTAL,,,,,,,,,,,,,,,
