Cod Linha;Empresa;Setor;Nome Linha;Mercado;KM;CLASSE;orgão;TIPO;VIAGENS;Capacidade;PREFIXO;Cód Empresa;Grupo Cnx;KM CLASSE;Validação;Frequência;Caracteristica;Gestão;Check
2179;1001;MARUI;GALEAO (RJ) - CHARITAS (RJ);RIO-NITEROI URBANO;46;URBANO;DETRO/RJ;URBANO              ;1;0;0;2;GALEAO (RJ) - CHARITAS (RJ);46;Demais Mercados;Normal;Seccionado;Regional Rio;
2590;1001;MARUI;CHARITAS (RJ) - GAVEA (RJ) (VIA S.BARBARA);RIO-NITEROI SELETIVO;40;SELETIVO            ;DETRO/RJ;SELETIVO            ;1;0;0;2;CHARITAS (RJ) - GAVEA (RJ) (VIA S.BARBARA);40;Demais Mercados;Normal;Seccionado;Regional Rio;
2594;1001;MARUI;CHARITAS (RJ) - IPANEMA (RJ);RIO-NITEROI URBANO;42;URBANO;DETRO/RJ;URBANO              ;1;0;0;2;CHARITAS (RJ) - IPANEMA (RJ);42;Demais Mercados;Normal;Seccionado;Regional Rio;
2595;1001;MARUI;CHARITAS (RJ) - GAVEA (RJ) (VIA S.BARBARA);RIO-NITEROI URBANO;41;URBANO;DETRO/RJ;URBANO              ;1;0;0;2;CHARITAS (RJ) - GAVEA (RJ) (VIA S.BARBARA);41;Demais Mercados;Normal;Seccionado;Regional Rio;
2598;1001;MARUI;CASTELO (RJ) - CHARITAS LIGHT (RJ);RIO-NITEROI SELETIVO;0;SELETIVO            ;DETRO/RJ;SELETIVO            ;0;0;0;2;CASTELO (RJ) - CHARITAS LIGHT (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;
2609;1001;MARUI;ITAIPU (RJ) - CHARITAS INTEGRACAO (RJ);RIO-NITEROI SELETIVO;0;SELETIVO            ;DETRO/RJ;SELETIVO            ;0;0;0;2;ITAIPU (RJ) - CHARITAS INTEGRACAO (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;
2612;1001;MARUI;PIRATININGA (RJ) - CASTELO (RJ);RIO-NITEROI SELETIVO;115;CONVENCIONAL;DETRO/RJ;SELETIVO            ;1;0;0;2;PIRATININGA (RJ) - CASTELO (RJ);115;Demais Mercados;Normal;Seccionado;Regional Rio;
2613;1001;MARUI;ITAIPU (RJ) - CASTELO (RJ);RIO-NITEROI SELETIVO;0;CONVENCIONAL;DETRO/RJ;SELETIVO            ;0;0;2613;2;ITAIPU (RJ) - CASTELO (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;
2615;1001;MARUI;GALEAO (RJ) - CHARITAS (RJ);RIO-NITEROI SELETIVO;115;CONVENCIONAL;DETRO/RJ;SELETIVO            ;1;0;0;2;GALEAO (RJ) - CHARITAS (RJ);115;Demais Mercados;Normal;Seccionado;Regional Rio;
2617;1001;MARUI;GALEAO (RJ) - CHARITAS (RJ);RIO-NITEROI URBANO;53;URBANO;DETRO/RJ;URBANO              ;1;0;0;2;GALEAO (RJ) - CHARITAS (RJ);53;Demais Mercados;Normal;Seccionado;Regional Rio;
